.2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-03 10:59:39,308 - GW_IPM_RENRATIO REGIONAL AUTO INFO - termincep created successfully with 57892 records
2021-05-03 11:00:31,522 - GW_IPM_RENRATIO REGIONAL AUTO INFO - termincep created successfully with 383682 records
2021-05-03 11:00:33,099 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 383682 records read from table:termincep.
2021-05-03 11:00:33,257 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table TERMINCEP created successfully with 202940 records and 5 columns.
2021-05-03 11:00:34,591 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 11:00:34,591 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Hhld2 table
2021-05-03 11:00:35,126 - GW_IPM_RENRATIO REGIONAL AUTO INFO - ***Table HHLD2 created successfully with 32661 records.
2021-05-03 11:00:35,126 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 11:00:35,632 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 32661 records read from table:Hhld2.
2021-05-03 11:00:35,974 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Inf202101 created successfully with 32661 records
2021-05-03 11:00:37,691 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce202102.
2021-05-03 11:00:37,691 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202102 created successfully with 57047 records and 117 columns.
2021-05-03 11:00:44,705 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57047 records read from table:inforce202102.
2021-05-03 11:00:44,747 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 57047 records
2021-05-03 11:00:45,348 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 1213 records read from table:Gen1.
2021-05-03 11:00:45,403 - GW_IPM_RENRATIO REGIONAL AUTO INFO - ***Gen1 created successfully with 1213 records
2021-05-03 11:00:53,457 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 321125 records read from table:inforcegenii202102.
2021-05-03 11:00:53,458 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202102 created successfully with 321125 records and 213 columns.
2021-05-03 11:02:09,707 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 321125 records read from table:inforcegenii202102.
2021-05-03 11:02:11,326 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 321125 records
